id,value
1488844
1488844.Isle of Man TT 2004 Review,299.9997745946183
1488844.Character,301.4523770993544
1488844.Paula Abdul's Get Up & Dance,357.8350587738929
1488844.The Rise and Fall of ECW,278.1992839210341
1488844.Sick,329.82389119778105
1488844.8 Man,144.48463727287327
1488844.What the #$*! Do We Know!?,229.8117579542547
1488844.Class of Nuke 'Em High 2,226.9632237942565
1488844.Fighter,263.49840186137953
1488844.Full Frame: Documentary Shorts,220.6473204978601
1488844.My Favorite Brunette,284.06282499606334
1488844.Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,298.819243013417
1488844.Nature: Antarctica,286.175046650137
1488844.Neil Diamond: Greatest Hits Live,240.83741562786628
1488844.Screamers,312.4654389398662
1488844.7 Seconds,231.85708704165998
1488844.Immortal Beloved,320.41542819560567
1488844.By Dawn's Early Light,279.22197571785273
1488844.Seeta Aur Geeta,334.5204922564066
1488844.Strange Relations,220.4286598625066
1488844.Chump Change,275.75358441371105
1488844.Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,228.37160837574112
1488844.My Bloody Valentine,300.2620206668056
1488844.Inspector Morse 31: Death Is Now My Neighbour,274.0479803794683
1488844.Never Die Alone,324.2566043501704
1488844.Sesame Street: Elmo's World: The Street We Live On,215.27766813891276
1488844.Lilo and Stitch,313.56289721837607
1488844.Boycott,336.9247153869944
1488844.Something's Gotta Give,299.0099691761008
1488844.Classic Albums: Meat Loaf: Bat Out of Hell,343.08212969337933
1488844.ABC Primetime: Mel Gibson's The Passion of the Christ,269.20379150882343
1488844.Aqua Teen Hunger Force: Vol: 1,352.15250463500865
1488844.Ashtanga Yoga: Beginner's Practice with Nicki Doane,253.24691842177776
1488844.Ferngully 2: The Magical Rescue,246.9975257917957
822109
822109.Isle of Man TT 2004 Review,499.9996240843049
822109.Character,502.4743093978175
822109.Paula Abdul's Get Up & Dance,596.44307741983
822109.The Rise and Fall of ECW,463.7921634488073
822109.Sick,549.8479507555884
822109.8 Man,240.8989667205514
822109.What the #$*! Do We Know!?,383.0953701551363
822109.Class of Nuke 'Em High 2,378.4965204428393
822109.Fighter,439.28995207207987
